id,subarea,objective,stem,options,correct_index,rationales,difficulty,assessment
Q101,Genre & Craft,Clarity and Concision,Which revision improves sentence clarity?,"{""Running fast, the finish line was crossed by Maria."",""Maria crossed the finish line quickly."",""Maria, crossing the finish line fastly."",""The finish line quickly was crossed Maria.""}",1,"{""Dangling modifier."",""Active voice and concise phrasing."",""Incorrect adverb form."",""Word order is ungrammatical.""}",3,True
Q102,Skills & Processes,Research Evaluation,Which source is most reliable for academic research?,"{""Personal blog"",""Peer-reviewed journal article"",""Wikipedia page"",""Advertisement brochure""}",1,"{""Informal opinion."",""Peer review confers credibility."",""Editable and variable quality."",""Promotional bias.""}",2,True
Q103,Literature & Understanding,Theme Analysis,"In 'The Great Gatsby', which theme is most prominent?","{""The corrupting influence of wealth"",""The importance of education"",""The beauty of nature"",""The power of friendship""}",0,"{""Central to the novel's critique of the American Dream."",""Not a major focus of the novel."",""Minimal presence in the story."",""Secondary to the main themes.""}",3,True
Q104,Meaning & Communication,Rhetorical Devices,Which device is used in 'Ask not what your country can do for you'?,"{""Metaphor"",""Chiasmus"",""Hyperbole"",""Alliteration""}",1,"{""No direct comparison is made."",""Reversal of grammatical structures for rhetorical effect."",""No exaggeration present."",""Repetition of consonant sounds is minimal.""}",4,True
Q105,Genre & Craft,Point of View,Which point of view allows the narrator to know all characters' thoughts?,"{""First person"",""Second person"",""Third person limited"",""Third person omniscient""}",3,"{""Limited to narrator's perspective."",""Addresses the reader directly."",""Restricted to one character's thoughts."",""All-knowing narrator can access any character's mind.""}",2,True
Q106,Skills & Processes,Citation Formats,"In MLA format, where does the period go in relation to the citation?","{""Before the parenthetical citation"",""Inside the parenthetical citation"",""After the parenthetical citation"",""It doesn't matter""}",2,"{""Incorrect MLA format."",""Incorrect MLA format."",""The period always comes after the citation in MLA."",""MLA has specific rules for punctuation.""}",2,True
Q107,Literature & Understanding,Poetry Analysis,What is the rhyme scheme of a Shakespearean sonnet?,"{""ABAB CDCD EFEF GG"",""ABBA ABBA CDC DCD"",""AABB CCDD EEFF GG"",""ABCD ABCD EFGH IJ""}",0,"{""Correct pattern for Shakespearean/English sonnets."",""This is a Petrarchan sonnet pattern."",""Not a traditional sonnet form."",""Not a recognized sonnet pattern.""}",3,True
Q108,Meaning & Communication,Grammar Usage,Which sentence correctly uses a semicolon?,"{""I love reading; especially novels."",""The test is tomorrow; I need to study."",""She is smart; because she reads a lot."",""He ran quickly; to catch the bus.""}",1,"{""Semicolon shouldn't separate a fragment."",""Correctly joins two independent clauses."",""'Because' creates a dependent clause."",""'To catch' creates an infinitive phrase, not an independent clause.""}",3,True
Q109,Genre & Craft,Tone and Mood,What is the difference between tone and mood?,"{""Tone is the reader's feeling; mood is the author's attitude"",""They are the same thing"",""Tone is the author's attitude; mood is the reader's feeling"",""Tone is only in poetry; mood is only in prose""}",2,"{""Reversed definitions."",""They are distinct literary concepts."",""Tone reflects the author's perspective; mood is the emotional atmosphere created for the reader."",""Both apply to all literary forms.""}",2,True
Q110,Skills & Processes,Writing Process,Which revision strategy is most effective for improving clarity?,"{""Reading your work aloud"",""Checking spelling only"",""Counting words"",""Changing font size""}",0,"{""Hearing the text helps identify awkward phrasing and unclear passages."",""Spelling is important but doesn't address clarity."",""Word count doesn't improve clarity."",""Formatting doesn't affect content clarity.""}",2,True
Q111,Literature & Understanding,Poetry Analysis,How many lines are in a Shakespearean sonnet?,"{""12 lines"",""14 lines"",""16 lines"",""18 lines""}",1,"{""Incorrect. 12 lines would be too short for the traditional sonnet structure."",""Correct! Shakespearean sonnets always have 14 lines written in iambic pentameter."",""Incorrect. 16 lines exceeds the traditional sonnet length."",""Incorrect. 18 lines is too long for a sonnet.""}",2,True
Q112,Literature & Understanding,Poetry Analysis,What's the rhyme scheme of a Shakespearean sonnet?,"{""ABBA ABBA CDC DCD"",""ABAB CDCD EFEF GG"",""AABB CCDD EEFF GG"",""ABCD ABCD EFGH IJ""}",1,"{""This is the rhyme scheme of a Petrarchan (Italian) sonnet, not Shakespearean."",""Correct! The three quatrains follow alternating rhyme (ABAB, CDCD, EFEF), ending with a rhyming couplet (GG)."",""This pattern uses only couplets, which doesn't match the Shakespearean structure."",""This pattern has no rhyme scheme at all and isn't a traditional sonnet form.""}",3,True
Q113,Literature & Understanding,Poetry Analysis,Where does the volta (turn in thought) typically occur in a Shakespearean sonnet?,"{""At line 5"",""At line 9 or in the final couplet (line 13)"",""At the very beginning (line 1)"",""At line 8""}",1,"{""Too early. Line 5 is in the middle of the second quatrain, not a typical turning point."",""Correct! The volta usually appears at the start of the third quatrain (line 9) or in the final couplet (line 13), shifting the poem's direction or offering resolution."",""The poem typically establishes its theme first before turning, so line 1 is too early."",""Line 8 is more common in Petrarchan sonnets, not Shakespearean structure.""}",3,True
Q114,Literature & Understanding,Poetry Analysis,Which of the following is a recurring theme in Shakespeare's sonnets?,"{""Space exploration and technology"",""Love, time, beauty, and mortality"",""Political revolution"",""Agricultural practices""}",1,"{""Anachronistic. Shakespeare lived in the late 16th/early 17th century, long before space exploration."",""Correct! Shakespeare's sonnets deeply explore universal themes of love, the passage of time, the nature of beauty, death, and existential questions."",""While Shakespeare wrote political plays, his sonnets focus more on personal and philosophical themes."",""Not a central theme in Shakespeare's sonnets, which focus on human emotion and experience.""}",2,True
Q115,Skills & Processes,Developmental Literacy,What's the primary focus of phonemic awareness?,"{""Recognizing sentence rhythm"",""Recognizing individual sounds in words"",""Identifying prefixes and suffixes"",""Memorizing sight words""}",1,"{""Sentence rhythm relates to prosody, not phonemic awareness."",""Correct! Phonemic awareness focuses on hearing, identifying, and manipulating individual sounds (phonemes) in spoken words."",""Prefixes and suffixes are part of morphology, not phonemic awareness."",""Sight word memorization is a separate literacy skill.""}",2,True
Q116,Skills & Processes,Developmental Literacy,Which skill bridges decoding and comprehension?,"{""Vocabulary development"",""Phoneme blending"",""Sight word recognition"",""Oral fluency""}",3,"{""While important, vocabulary is more directly related to comprehension than bridging the two."",""Phoneme blending is a decoding skill, not a bridge between decoding and comprehension."",""Sight words support decoding but don't bridge to comprehension."",""Correct! Oral fluency combines accurate decoding with expression and understanding, linking both skills.""}",3,True
Q117,Skills & Processes,Developmental Literacy,What stage comes before transitional literacy?,"{""Emergent"",""Fluent"",""Early"",""Proficient""}",2,"{""Emergent is the first stage, coming before early, not transitional."",""Fluent comes after transitional."",""Correct! The progression is: Emergent → Early → Transitional → Fluent → Proficient."",""Proficient is the final stage, after fluent.""}",2,True
Q118,Skills & Processes,Developmental Literacy,Why is morphology instruction beneficial?,"{""It improves handwriting"",""It helps infer meaning from unfamiliar words"",""It improves sentence rhythm"",""It builds phonemic awareness""}",1,"{""Morphology doesn't relate to handwriting (a motor skill)."",""Correct! Understanding roots, prefixes, and suffixes allows students to decode and infer meaning from new words."",""Sentence rhythm relates to prosody, not morphology."",""Phonemic awareness deals with sounds, not word parts.""}",2,True
Q119,Skills & Processes,Developmental Literacy,What's a key strategy for struggling readers?,"{""Reducing text exposure"",""Assigning silent reading only"",""Modeling fluent reading"",""Avoiding feedback""}",2,"{""Reducing exposure limits practice opportunities and slows progress."",""Silent reading alone doesn't provide the modeling and support struggling readers need."",""Correct! Modeling fluent reading demonstrates proper pacing, expression, and decoding strategies."",""Feedback is essential for growth and correction of errors.""}",2,True
Q120,Skills & Processes,Developmental Literacy,What's metacognition in literacy?,"{""Memorizing definitions"",""Monitoring and adjusting one's understanding"",""Identifying literary genres"",""Copying model sentences""}",1,"{""Memorization is a surface-level skill, not metacognition."",""Correct! Metacognition is thinking about one's own thinking—actively monitoring comprehension and adjusting strategies."",""Genre identification is a separate literacy skill."",""Copying is a mechanical task, not reflective thinking.""}",3,True
Q121,Skills & Processes,Developmental Literacy,Why is background knowledge critical for comprehension?,"{""It reduces decoding time"",""It links new information to existing schema"",""It improves phonics speed"",""It supports handwriting fluency""}",1,"{""Background knowledge relates to meaning-making, not decoding speed."",""Correct! Prior knowledge connects new information to existing understanding (schema), providing context for comprehension."",""Phonics speed is unrelated to background knowledge."",""Handwriting is a separate motor skill.""}",2,True
Q122,Skills & Processes,Developmental Literacy,How does syntax shape meaning?,"{""Determines pronunciation"",""Influences rhythm"",""Organizes ideas and emphasis"",""Adds imagery""}",2,"{""Pronunciation is determined by phonology, not syntax."",""While syntax can affect rhythm, its primary function is meaning organization."",""Correct! Sentence structure organizes ideas, determines emphasis, and affects how information is interpreted."",""Imagery comes from word choice (diction), not sentence structure.""}",3,True
Q123,Skills & Processes,Developmental Literacy,What's the main purpose of literacy assessment?,"{""Ranking students"",""Identifying learning needs and progress"",""Recording attendance"",""Rewarding effort""}",1,"{""Ranking can demotivate and doesn't guide instruction effectively."",""Correct! Assessment diagnoses strengths and needs, guiding targeted instruction and measuring growth."",""Attendance tracking is administrative, not instructional assessment."",""While recognition matters, assessment's primary purpose is diagnostic and instructional.""}",2,True
Q124,Skills & Processes,Developmental Literacy,Which element defines fluent reading?,"{""Slow, careful decoding"",""Smooth, accurate, expressive reading"",""Memorization of every word"",""Reading silently only""}",1,"{""Slow, careful reading indicates developing fluency, not fluent reading."",""Correct! Fluent reading is smooth, accurate, and expressive with appropriate pacing and prosody."",""Fluency involves automatic decoding, not memorization of all words."",""Fluency applies to both oral and silent reading.""}",2,True
Q125,Meaning & Communication,Language Functions in Context,Which best defines language register?,"{""Vocabulary level only"",""Sentence structure"",""Level of formality for audience and purpose"",""Tone of voice""}",2,"{""Register involves more than just vocabulary—it includes style and formality across all language elements."",""Sentence structure is one component but doesn't fully define register."",""Correct! Language register is the degree of formality adjusted for specific contexts, audiences, and purposes."",""Tone is related but distinct from register; register encompasses broader stylistic choices.""}",2,True
Q126,Meaning & Communication,Language Functions in Context,What does code-switching demonstrate?,"{""Poor grammar use"",""Flexibility in language based on audience"",""Avoidance of cultural norms"",""Memorization of word roots""}",1,"{""Code-switching is a sophisticated linguistic skill, not poor grammar."",""Correct! Code-switching shows linguistic flexibility and cultural awareness by adapting language to different situations and audiences."",""Code-switching actually demonstrates awareness and respect for cultural norms."",""Word roots relate to morphology, not code-switching.""}",2,True
Q127,Meaning & Communication,Language Functions in Context,What branch of linguistics studies meaning in context?,"{""Phonology"",""Morphology"",""Pragmatics"",""Semantics""}",2,"{""Phonology studies sound systems in language."",""Morphology examines word structure and formation."",""Correct! Pragmatics analyzes how context, speaker intent, and social factors influence meaning."",""Semantics studies meaning but doesn't emphasize context as pragmatics does.""}",3,True
Q128,Meaning & Communication,Language Functions in Context,Which sentence shows positive connotation?,"{""He's cheap."",""He's thrifty."",""He's stingy."",""He's miserly.""}",1,"{""'Cheap' has negative connotations of low quality or excessive frugality."",""Correct! 'Thrifty' has positive connotations of wise money management."",""'Stingy' has negative connotations of unwillingness to spend or share."",""'Miserly' has strongly negative connotations of excessive hoarding.""}",2,True
Q129,Meaning & Communication,Language Functions in Context,Denotation refers to a word's…,"{""Historical origin"",""Literal meaning"",""Figurative association"",""Emotional tone""}",1,"{""Etymology studies historical origins, not denotation."",""Correct! Denotation is the dictionary definition or literal meaning of a word."",""Figurative associations relate to connotation, not denotation."",""Emotional tone is part of connotation, not denotation.""}",2,True
Q130,Meaning & Communication,Effective Communication,Which is NOT a key component of communication?,"{""Sender"",""Message"",""Grammar"",""Feedback""}",2,"{""The sender initiates communication."",""The message is the content being communicated."",""Correct! While grammar aids clarity, it's not one of the six essential components of the communication process."",""Feedback allows the sender to gauge message reception.""}",2,True
Q131,Meaning & Communication,Effective Communication,Which quality ensures effective communication?,"{""Ambiguity"",""Clarity"",""Volume"",""Length""}",1,"{""Ambiguity obscures meaning and hinders communication."",""Correct! Clarity ensures the message is understood as intended."",""Volume is a delivery factor but doesn't guarantee effective communication."",""Length doesn't ensure effectiveness; conciseness is often preferable.""}",2,True
Q132,Meaning & Communication,Effective Communication,Tone is defined as…,"{""The emotional quality or attitude in language"",""The complexity of sentence structure"",""The literal meaning of a word"",""The rhythm of speech""}",0,"{""Correct! Tone reflects the speaker's or writer's attitude toward the subject and audience."",""Sentence complexity relates to syntax, not tone."",""Literal meaning is denotation, not tone."",""Rhythm relates to prosody, not tone (though they can work together).""}",2,True
Q133,Meaning & Communication,Effective Communication,Active listening means…,"{""Hearing and ignoring irrelevant details"",""Responding thoughtfully and showing understanding"",""Taking notes only"",""Finishing sentences for the speaker""}",1,"{""Active listening requires engagement with all content, not selective ignoring."",""Correct! Active listening involves full attention, comprehension, and meaningful response."",""Note-taking is one strategy but doesn't encompass active listening."",""Interrupting shows poor listening, not active engagement.""}",2,True
Q134,Meaning & Communication,Effective Communication,Nonverbal cues can…,"{""Only distract from meaning"",""Reinforce or contradict verbal messages"",""Replace written communication"",""Eliminate misunderstanding entirely""}",1,"{""Nonverbal cues enhance and clarify, not just distract."",""Correct! Nonverbal communication can support, emphasize, or contradict spoken words."",""Written communication serves different purposes; nonverbal cues complement but don't replace it."",""While helpful, nonverbal cues alone can't eliminate all misunderstanding.""}",2,True
Q135,Literature & Understanding,Literary Elements and Devices,Which is an example of situational irony?,"{""The reader knows the killer's identity before the detective does."",""A fire station burns down."",""A repeated vowel sound in poetry."",""The moral lesson of a story.""}",1,"{""This is dramatic irony, where the audience knows more than the characters."",""Correct! Situational irony occurs when the outcome contradicts expectations—a fire station should prevent fires, not burn."",""This describes assonance, a sound device, not irony."",""This describes theme or moral, not irony.""}",3,True
Q136,Literature & Understanding,Literary Elements and Devices,Symbolism adds meaning by…,"{""Simplifying description"",""Representing abstract ideas through concrete objects"",""Listing adjectives"",""Creating suspense""}",1,"{""Symbolism adds complexity, not simplification."",""Correct! Symbols use tangible objects to represent abstract concepts, adding layers of meaning."",""Listing adjectives is descriptive technique, not symbolism."",""While symbols can contribute to atmosphere, their primary function is representing deeper meaning.""}",2,True
