id,subarea,objective,question,answer,explanation,difficulty,tags
F001,Literature & Understanding,Figurative Language,What device is used in 'Hope is the thing with feathers'?,Metaphor,Compares hope to a bird to suggest persistence and lift.,2,"{""figurative"",""metaphor""}"
F002,Genre & Craft,Narrative Structure,What is 'in medias res'?,Starting a story in the middle of action,"A narrative technique that begins in the midst of events, then uses flashbacks to provide context.",3,"{""narrative"",""structure""}"
F003,Meaning & Communication,Context Clues,What are the four types of context clues?,"Definition, Synonym, Antonym, Inference",These are the primary strategies readers use to determine word meaning from surrounding text.,2,"{""vocabulary"",""context""}"
F004,Skills & Processes,Research Evaluation,What is the CRAAP test?,"Currency, Relevance, Authority, Accuracy, Purpose",A framework for evaluating source credibility in research.,3,"{""research"",""evaluation""}"
F005,Literature & Understanding,Literary Devices,Define 'foreshadowing',Hints or clues about future events in a story,Authors use foreshadowing to build anticipation and prepare readers for later developments.,2,"{""literary-devices"",""structure""}"
F006,Literature & Understanding,Poetry Analysis,How many lines are in a Shakespearean sonnet?,"14 total, written in iambic pentameter","Shakespearean sonnets follow a strict structure of 14 lines, each written in iambic pentameter (10 syllables with an unstressed-stressed pattern).",2,"{""poetry"",""shakespeare"",""sonnet""}"
F007,Literature & Understanding,Poetry Analysis,What are the sections of a Shakespearean sonnet?,Three quatrains and one couplet,"The 14 lines are divided into three quatrains (4-line stanzas) followed by a final rhyming couplet (2 lines), creating the structure: 4-4-4-2.",2,"{""poetry"",""shakespeare"",""sonnet"",""structure""}"
F008,Literature & Understanding,Poetry Analysis,What is the 'volta' in a Shakespearean sonnet?,"The shift or 'turn' in thought, often at line 9 or 13","The volta represents a pivotal moment where the poem's argument or emotional tone shifts. In Shakespearean sonnets, it typically occurs at the beginning of the third quatrain (line 9) or in the final couplet (line 13).",3,"{""poetry"",""shakespeare"",""sonnet"",""volta""}"
F009,Literature & Understanding,Poetry Analysis,What are common themes in Shakespearean sonnets?,"Love, time, beauty, and mortality","Shakespeare's sonnets explore universal themes: romantic & platonic love, the passage of time, the nature of beauty, mortality, and deep philosophical questions about existence and meaning.",2,"{""poetry"",""shakespeare"",""sonnet"",""themes""}"
F010,Skills & Processes,Developmental Literacy,What are the stages of literacy development?,"Emergent, early, transitional, fluent, proficient","These five stages represent the progression from pre-reading (emergent) through mastery (proficient), with each stage building upon the previous one.",2,"{""literacy"",""development"",""stages""}"
F011,Skills & Processes,Developmental Literacy,What is phonemic awareness?,Hearing and manipulating individual sounds in words,"The ability to hear, identify, and manipulate individual sounds (phonemes) in spoken words. This is a critical foundational skill for reading.",2,"{""literacy"",""phonemic-awareness"",""phonology""}"
F012,Skills & Processes,Developmental Literacy,How does phonics support fluency?,Connects sounds to letters for faster decoding,"Phonics instruction connects sounds to letters, improving decoding skills and automaticity, which leads to fluent reading.",2,"{""literacy"",""phonics"",""fluency""}"
F013,Skills & Processes,Developmental Literacy,What's the difference between decoding and comprehension?,Decoding = print to sound; comprehension = making meaning,"Decoding translates printed text to sound, while comprehension involves creating meaning from that text through understanding and interpretation.",2,"{""literacy"",""decoding"",""comprehension""}"
F014,Skills & Processes,Developmental Literacy,Why is morphology important?,Helps infer word meaning through roots/prefixes/suffixes,"Understanding roots, prefixes, and suffixes supports vocabulary growth and allows readers to infer the meaning of unfamiliar words.",3,"{""literacy"",""morphology"",""vocabulary""}"
F015,Skills & Processes,Developmental Literacy,How does syntax contribute to meaning?,Structure determines emphasis and clarity,"Sentence structure affects emphasis, tone, and clarity of information, influencing how readers interpret the text.",3,"{""literacy"",""syntax"",""grammar""}"
F016,Skills & Processes,Developmental Literacy,What strategies help struggling readers?,"Explicit phonics, guided reading, fluency modeling, vocabulary support","Use explicit phonics instruction, guided reading sessions, modeled fluent reading, and vocabulary scaffolds to support struggling readers.",2,"{""literacy"",""intervention"",""teaching-strategies""}"
F017,Skills & Processes,Developmental Literacy,What is metacognition?,Awareness and regulation of one's own thinking,Thinking about one's own thinking—monitoring and adjusting comprehension strategies while reading.,3,"{""literacy"",""metacognition"",""comprehension""}"
F018,Skills & Processes,Developmental Literacy,Why is background knowledge essential?,Enables connection and deeper understanding,"Prior knowledge connects new information to existing understanding, providing context and aiding comprehension.",2,"{""literacy"",""schema"",""comprehension""}"
F019,Skills & Processes,Developmental Literacy,What's the role of assessment?,"Diagnose needs, guide instruction, measure growth","Assessment identifies student strengths and needs, guiding targeted interventions and measuring progress over time.",2,"{""literacy"",""assessment"",""evaluation""}"
F020,Meaning & Communication,Language Functions in Context,What does 'language register' mean?,"The level of formality or style used depending on context, audience, and purpose","Language register refers to how speakers and writers adjust their language formality based on the social situation, audience, and communicative purpose.",2,"{""communication"",""register"",""context""}"
F021,Meaning & Communication,Language Functions in Context,What is 'code-switching'?,Shifting between language varieties or dialects based on audience or situation,"Code-switching demonstrates linguistic flexibility, allowing speakers to adapt their language to different social contexts and audiences.",2,"{""communication"",""code-switching"",""sociolinguistics""}"
F022,Meaning & Communication,Language Functions in Context,What are pragmatics?,The study of how context influences meaning in communication,"Pragmatics examines how situational context, speaker intent, and social relationships affect the interpretation of language.",3,"{""communication"",""pragmatics"",""linguistics""}"
F023,Meaning & Communication,Language Functions in Context,What is connotation?,The emotional or cultural associations attached to a word beyond its literal meaning,"Connotation adds layers of meaning to words, reflecting cultural values, emotions, and social attitudes beyond dictionary definitions.",2,"{""communication"",""connotation"",""semantics""}"
F024,Meaning & Communication,Language Functions in Context,What's the difference between denotation and connotation?,Denotation is literal meaning; connotation adds emotional or cultural nuance,"Denotation provides the dictionary definition, while connotation includes the feelings, associations, and cultural meanings attached to words.",2,"{""communication"",""denotation"",""connotation""}"
F025,Meaning & Communication,Effective Communication,What are the main components of communication?,"Sender, message, medium, receiver, feedback, and context","Effective communication requires all six components working together: someone sending a message through a medium to a receiver, with feedback occurring within a specific context.",2,"{""communication"",""components"",""process""}"
F026,Meaning & Communication,Effective Communication,What makes communication effective?,"Clarity, conciseness, coherence, and audience awareness","Effective communication requires clear expression, brevity without sacrificing meaning, logical organization, and adaptation to the audience's needs and knowledge.",2,"{""communication"",""effectiveness"",""principles""}"
F027,Meaning & Communication,Effective Communication,What is tone in communication?,The speaker's attitude toward the subject or audience,"Tone conveys the speaker's feelings, perspective, and relationship to both the topic and the audience through word choice, syntax, and delivery.",2,"{""communication"",""tone"",""attitude""}"
F028,Meaning & Communication,Effective Communication,What does active listening involve?,"Engaging with, reflecting, and responding thoughtfully to a speaker","Active listening requires full attention, understanding the speaker's message, providing feedback, and responding in ways that demonstrate comprehension.",2,"{""communication"",""listening"",""engagement""}"
F029,Meaning & Communication,Effective Communication,Why is nonverbal communication important?,"It reinforces or contradicts spoken messages, adding depth to meaning","Nonverbal cues like body language, facial expressions, and tone of voice can support, emphasize, or even contradict verbal communication, providing additional context.",2,"{""communication"",""nonverbal"",""body-language""}"
F030,Literature & Understanding,Literary Elements and Devices,What are common elements of fiction?,"Plot, character, setting, theme, and conflict","These five essential elements work together to create a complete fictional narrative, each contributing to the story's meaning and impact.",2,"{""literature"",""fiction"",""elements""}"
F031,Literature & Understanding,Literary Elements and Devices,What is symbolism?,The use of objects or actions to represent deeper meanings,"Symbolism allows authors to convey complex ideas and themes through concrete images, adding layers of meaning to their work.",2,"{""literature"",""symbolism"",""devices""}"
F032,Literature & Understanding,Literary Elements and Devices,What is irony?,"A contrast between appearance and reality, expectation and outcome","Irony creates meaning through contradiction, whether between what's said and meant (verbal), expected and actual (situational), or known by the audience versus characters (dramatic).",3,"{""literature"",""irony"",""devices""}"
F033,Literature & Understanding,Literary Elements and Devices,What is point of view?,"The perspective from which a story is told (first, second, third person)","Point of view determines whose eyes the reader sees through, affecting what information is revealed and how the story is interpreted.",2,"{""literature"",""point-of-view"",""perspective""}"
F034,Literature & Understanding,Literary Elements and Devices,What is theme?,The central idea or message underlying a literary work,"Theme represents the universal truth or insight about life that the author explores through characters, plot, and other literary elements.",2,"{""literature"",""theme"",""meaning""}"
F035,Genre & Craft,Writing Techniques,What is diction?,The author's choice of words to create tone and meaning,"Diction encompasses vocabulary selection, including formal versus informal language, concrete versus abstract words, and the level of complexity chosen to suit purpose and audience.",2,"{""writing"",""diction"",""word-choice""}"
F036,Genre & Craft,Writing Techniques,What is syntax in writing?,The arrangement of words and phrases to create effective sentences,"Syntax involves sentence structure choices that affect rhythm, emphasis, and clarity, from simple to complex constructions.",3,"{""writing"",""syntax"",""structure""}"
F037,Genre & Craft,Writing Techniques,What is voice in writing?,The unique personality and style that comes through the text,"Voice reflects the writer's individual perspective, attitude, and stylistic choices, making their work distinctive and recognizable.",2,"{""writing"",""voice"",""style""}"
F038,Genre & Craft,Writing Techniques,What's the purpose of imagery?,To appeal to the reader's senses and create vivid experiences,"Imagery uses descriptive language that engages sight, sound, touch, taste, and smell to make writing more concrete and memorable.",2,"{""writing"",""imagery"",""sensory""}"
F039,Genre & Craft,Writing Techniques,What is tone in writing?,The author's attitude toward the subject or audience,"Tone is created through diction, syntax, and stylistic choices that reveal how the author feels about the topic and shapes how readers respond.",2,"{""writing"",""tone"",""attitude""}"
F040,Literature & Understanding,Literary Analysis,What is theme in literature?,The central idea or universal truth in a literary work,Theme is the underlying message or insight about life that the author explores through all elements of the story.,2,"{""literature"",""theme"",""meaning""}"
F041,Literature & Understanding,Literary Analysis,What's the difference between plot and theme?,Plot is what happens; theme is what it means,"Plot provides the sequence of events, while theme reveals the deeper significance or message behind those events.",2,"{""literature"",""plot"",""theme""}"
F042,Literature & Understanding,Literary Analysis,What is characterization?,"How an author develops a character through actions, dialogue, and description","Characterization can be direct (telling) or indirect (showing through behavior, speech, thoughts, and interactions).",2,"{""literature"",""characterization"",""character""}"
F043,Literature & Understanding,Literary Analysis,What is point of view in literature?,"The perspective from which a story is told (first, second, or third person)",Point of view determines what information readers access and how they experience the story's events.,2,"{""literature"",""point-of-view"",""narration""}"
F044,Literature & Understanding,Literary Analysis,What is a motif?,"A recurring symbol, image, or idea that reinforces theme","Motifs appear repeatedly throughout a work, creating patterns of meaning that support and develop the central theme.",3,"{""literature"",""motif"",""symbolism""}"
F045,Literature & Understanding,Literary Analysis,What is tone in literature?,The author's attitude toward the subject or audience,"Tone is conveyed through word choice, sentence structure, and stylistic decisions that reveal the author's perspective.",2,"{""literature"",""tone"",""attitude""}"
F046,Literature & Understanding,Literary Analysis,What is mood in literature?,The emotional atmosphere experienced by the reader,"Mood is the feeling created in the reader through setting, imagery, and language choices.",2,"{""literature"",""mood"",""atmosphere""}"
F047,Literature & Understanding,Literary Analysis,What is imagery?,Descriptive language appealing to the five senses,"Imagery creates vivid mental pictures and sensory experiences through language that engages sight, sound, touch, taste, and smell.",2,"{""literature"",""imagery"",""sensory""}"
F048,Literature & Understanding,Literary Analysis,What is an allegory?,A story with both literal and symbolic meaning,"In allegory, characters, events, and settings represent abstract ideas or moral qualities, creating dual levels of meaning.",3,"{""literature"",""allegory"",""symbolism""}"
F049,Literature & Understanding,Literary Analysis,What is foreshadowing?,Clues or hints about what will happen later in the story,Foreshadowing creates anticipation and suspense while preparing readers for future plot developments.,2,"{""literature"",""foreshadowing"",""technique""}"
F050,Literature & Understanding,Literary Analysis,What is conflict in literature?,The struggle between opposing forces that drives the plot and reveals character growth,"Conflict can be internal (within a character) or external (between characters, or character vs. nature/society), and provides the story's central tension.",2,"{""literature"",""conflict"",""plot""}"
F051,Literature & Understanding,Literary Analysis,What is diction in literature?,Word choice used to create tone and meaning,"Diction includes the level of formality, connotation, and precision of words selected to achieve specific effects.",2,"{""literature"",""diction"",""word-choice""}"
F052,Literature & Understanding,Literary Analysis,What is irony in literature?,"A contrast between appearance and reality, or expectation and outcome","Irony includes verbal (saying the opposite of what's meant), situational (unexpected outcomes), and dramatic (audience knows more than characters).",3,"{""literature"",""irony"",""technique""}"
F053,Literature & Understanding,Literary Analysis,What is symbolism in literature?,Using objects or events to represent abstract ideas,"Symbols carry meaning beyond their literal significance, adding depth and layers of interpretation to the text.",2,"{""literature"",""symbolism"",""meaning""}"
F054,Skills & Processes,Teaching and Assessment,What is phonological awareness?,"Recognizing and manipulating sounds in spoken language, including rhyme and syllables","Phonological awareness is a foundational literacy skill that includes identifying and working with sounds at the word, syllable, and phoneme levels.",2,"{""literacy"",""phonological-awareness"",""reading""}"
F055,Skills & Processes,Teaching and Assessment,What's the difference between formative and summative assessment?,Formative happens during learning to guide instruction; summative measures learning at the end,"Formative assessments inform ongoing teaching decisions, while summative assessments evaluate overall achievement after instruction concludes.",2,"{""assessment"",""formative"",""summative""}"
F056,Skills & Processes,Teaching and Assessment,What are rubrics used for?,Define expectations and scoring criteria for consistent grading,"Rubrics provide clear standards and descriptions of performance levels, ensuring fair and transparent evaluation.",2,"{""assessment"",""rubrics"",""evaluation""}"
F057,Skills & Processes,Teaching and Assessment,What is scaffolding in education?,Providing temporary support to help students master new skills independently,"Scaffolding gradually releases responsibility to students as they develop competence, like training wheels on a bicycle.",2,"{""instruction"",""scaffolding"",""support""}"
F058,Skills & Processes,Teaching and Assessment,What are reading conferences?,"Discussing a student's progress, reading habits, and comprehension strategies","Reading conferences provide individualized opportunities to assess understanding, set goals, and provide targeted support.",2,"{""literacy"",""conferences"",""assessment""}"
F059,Skills & Processes,Teaching and Assessment,What is fluency in reading?,"Reading with accuracy, rate, and expression","Fluency bridges decoding and comprehension, allowing readers to focus on meaning rather than word-by-word processing.",2,"{""literacy"",""fluency"",""reading""}"
F060,Skills & Processes,Teaching and Assessment,What is metacognition in learning?,"Thinking about one's own thinking—planning, monitoring, and evaluating understanding","Metacognition enables students to become self-aware, strategic learners who can adjust their approaches when needed.",3,"{""learning"",""metacognition"",""thinking""}"
F061,Skills & Processes,Teaching and Assessment,What is peer review?,Students giving constructive feedback on each other's writing,Peer review develops critical reading skills and helps writers see their work from a reader's perspective.,2,"{""writing"",""peer-review"",""feedback""}"
F062,Skills & Processes,Teaching and Assessment,What are the stages of the writing process?,"Prewriting, drafting, revising, editing, and publishing","The writing process is recursive, with writers moving between stages as they develop and refine their work.",2,"{""writing"",""process"",""stages""}"
F063,Skills & Processes,Teaching and Assessment,What is differentiated instruction?,Adjusting teaching methods to meet diverse student needs,"Differentiation involves varying content, process, product, or learning environment based on student readiness, interests, and learning profiles.",2,"{""instruction"",""differentiation"",""teaching""}"
F301,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Alliteration?,Repetition of initial consonant sounds,Alliteration is the repetition of initial consonant sounds in neighboring words. Example: 'Peter Piper picked a peck of pickled peppers.' It creates rhythm and emphasizes certain words.,1,"{""rhetoric"",""sound"",""alliteration""}"
F302,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Assonance?,Repetition of vowel sounds within words,Assonance is the repetition of vowel sounds within words. Example: 'The rain in Spain falls mainly on the plain.' It creates internal rhyme and musicality.,1,"{""rhetoric"",""sound"",""assonance""}"
F303,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Consonance?,Repetition of consonant sounds at the end or middle of words,"Consonance is the repetition of consonant sounds at the end or middle of words, creating a pleasing auditory effect. Example: 'blank and think.'",1,"{""rhetoric"",""sound"",""consonance""}"
F304,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Anaphora?,Repetition of a word or phrase at the beginning of successive clauses,Anaphora is a rhetorical device where words are repeated at the beginning of successive clauses for emphasis. Example: MLK's 'I have a dream' speech repeatedly uses this phrase.,2,"{""rhetoric"",""repetition"",""anaphora""}"
F305,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Epistrophe?,Repetition of words at the end of successive clauses,"Epistrophe repeats words at the end of successive clauses or sentences for rhetorical effect. Example: 'government of the people, by the people, for the people.'",2,"{""rhetoric"",""repetition"",""epistrophe""}"
F306,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Parallelism?,Using similar grammatical structures in a series for rhythm and balance,"Parallelism uses similar grammatical structures to create balance, rhythm, and emphasis. Example: 'I came, I saw, I conquered.' It makes writing more memorable and persuasive.",2,"{""rhetoric"",""structure"",""parallelism""}"
F307,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Antithesis?,Juxtaposition of contrasting ideas in balanced phrases,"Antithesis places contrasting ideas in parallel structures to emphasize opposition. Example: 'It was the best of times, it was the worst of times.' Creates dramatic contrast.",2,"{""rhetoric"",""contrast"",""antithesis""}"
F308,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Chiasmus?,Inverted parallelism,Chiasmus reverses the structure of parallel phrases for memorable effect. Example: JFK's 'Ask not what your country can do for you—ask what you can do for your country.',3,"{""rhetoric"",""structure"",""chiasmus""}"
F309,Genre & Craft,Rhetorical Devices and Craft Techniques,What is a Metaphor?,Direct comparison between two unlike things without 'like' or 'as',A metaphor makes a direct comparison between two unlike things to create vivid imagery. Example: 'Time is a thief.' It implies shared qualities without explicit comparison words.,1,"{""figurative"",""metaphor"",""comparison""}"
F310,Genre & Craft,Rhetorical Devices and Craft Techniques,What is a Simile?,Comparison using 'like' or 'as',A simile explicitly compares two unlike things using 'like' or 'as.' Example: 'Her eyes sparkled like diamonds.' Creates vivid imagery through direct comparison.,1,"{""figurative"",""simile"",""comparison""}"
F311,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Personification?,Giving human qualities to non-human things,"Personification attributes human characteristics to animals, objects, or abstract concepts. Example: 'The wind whispered through the trees.' Makes writing more relatable and vivid.",1,"{""figurative"",""personification""}"
F312,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Hyperbole?,Deliberate exaggeration for emphasis or humor,Hyperbole uses extreme exaggeration to emphasize a point or create humor. Example: 'I've told you a million times!' Not meant to be taken literally.,1,"{""figurative"",""hyperbole"",""exaggeration""}"
F313,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Understatement?,Deliberately downplaying significance for irony,"Understatement minimizes the importance of something, often for ironic or humorous effect. Example: Calling a hurricane 'a bit of bad weather.' Creates subtle emphasis through minimization.",2,"{""rhetoric"",""understatement"",""irony""}"
F314,Genre & Craft,Rhetorical Devices and Craft Techniques,What is an Oxymoron?,Two contradictory words combined,"An oxymoron combines contradictory terms for rhetorical effect. Examples: 'bittersweet,' 'jumbo shrimp,' 'deafening silence.' Creates tension and emphasizes complexity.",2,"{""rhetoric"",""oxymoron"",""contradiction""}"
F315,Genre & Craft,Rhetorical Devices and Craft Techniques,What is a Paradox?,A statement that seems contradictory yet reveals truth,"A paradox presents an apparent contradiction that reveals deeper truth upon reflection. Example: 'The more you learn, the less you know.' Encourages critical thinking.",2,"{""rhetoric"",""paradox"",""logic""}"
F316,Genre & Craft,Rhetorical Devices and Craft Techniques,What is a Euphemism?,Mild term replacing a harsh one,A euphemism substitutes a mild or indirect expression for something unpleasant or embarrassing. Example: 'passed away' instead of 'died.' Softens harsh realities.,1,"{""rhetoric"",""euphemism"",""diction""}"
F317,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Litotes?,Affirmation through negation,Litotes affirms something by denying its opposite. Example: 'not bad' means 'good.' Creates emphasis through understatement and irony.,2,"{""rhetoric"",""litotes"",""irony""}"
F318,Genre & Craft,Rhetorical Devices and Craft Techniques,What is a Rhetorical Question?,"Question asked for effect, not an answer",A rhetorical question is posed for persuasive effect rather than to elicit an answer. Example: 'Is the Pope Catholic?' Engages audience and emphasizes a point.,1,"{""rhetoric"",""question"",""persuasion""}"
F319,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Apostrophe?,Addressing an absent person or abstract idea directly,"Apostrophe directly addresses someone absent or something non-human as if present. Example: 'O Death, where is thy sting?' Creates dramatic intensity.",2,"{""rhetoric"",""apostrophe"",""address""}"
